Date,Élève,Chapitre/Notion,Question posée
16/03/2026 21:26,Élève 1,Théorème du produit nul,Je ne comprends pas la règle du produit nul
16/03/2026 21:27,Élève 1,Équations quotients,Comment on trouve une valeur interdite dans un quotient ?
16/03/2026 21:28,Élève 2,Définition d'une équation,C'est quoi une équation au fond ?
17/03/2026 08:58,Élève 2,Équations du type x²=a,Je n'ai pas compris les racine carré 
17/03/2026 09:15,Élève 3,Équations fondamentales,Explique moi les Règles de résolution des équations fondamentales
17/03/2026 09:34,Élève 1,Équations quotients,Comment on trouve une valeur interdite dans un quotient ?
17/03/2026 09:36,Élève 1,Équations quotients,Comment on trouve une valeur interdite dans un quotient ?
17/03/2026 09:37,Élève 3,Équations quotients,Comment on trouve une valeur interdite dans un quotient ?
17/03/2026 10:00,Élève 2,Équations quotients,Comment on trouve une valeur interdite dans un quotient ?
17/03/2026 10:34,Élève 3,Équations fondamentales,Explique moi les Règles de résolution des équations fondamentales
17/03/2026 10:48,Élève 2,Équations quotients,comment résoudre une équation avec une fraction ?
17/03/2026 11:18,Victor Hoegy,Théorème du produit nul,Explique moi le Théorème du produit nul
17/03/2026 11:28,Guy Yome LANCIAUX,Méthode générale / Autre,Je n'ai pas compris comment résoudre l'équation  (3x +1)(x +4)=3x +1
